item_id,Description,Sub Category
27493,Banana Chiquita Ecuador - 1Kg,FRUITS
26441,Cucumber Kuwait - 1Kg,VEGGIES
31123,Al Mutaheda Fresh Kuwaiti Eggs - 30 Pieces,EGGS
28499,KFM Lebanese White Bread - 300g,FLAT BREAD
32414,Tomato Kuwaiti - 1Kg,VEGGIES
24409,Carrots Australia - 1Kg,VEGGIES
31517,Potato Kuwait - 1Kg,VEGGIES
27800,Kuwaiti Fresh White Eggs (50/60) - 30 Pieces,EGGS
25511,Lemon South Africa - 1Kg,VEGGIES
31282,KFM Milk Toast With Vitamin D3 - 500g,TOAST
28275,KFM Original Toast With Vitamin D3 - 500g,TOAST
35433,Cucumber Kuwait - 2Kg,VEGGIES
26490,KFM Hotdog Roll - 240g,BURGER & HOTDOG BUNS
33387,Onion Red India - 1Kg,VEGGIES
35806, Driscoll's Blueberries - 125g,FRUITS
25666,Lettuce Romaine Jordan - 750g,VEGGIES
27462,L'usine Milk Toast - 600g,TOAST
24406,Driscoll's Blueberries - 170g,FRUITS
25490,KFM Potato Buns - 300g,BURGER & HOTDOG BUNS
35428,Tomato Kuwait - 2Kg,VEGGIES
24410,Eggplant Kuwait - 500g,VEGGIES
33901,KDD Liquid Cooking Cream - 250ml,CREAM & BUTTER
32388,L'usine White Toast - 600g,TOAST
38276,Avocado Hass Mexico - 500g,FRUITS
27208,KFM Whole Wheat Toast With Vitamin D3 - 500g,TOAST
32415,Capsicum Green Kuwait - 500g,VEGGIES
32468,KFM Arabic White Bread - 375g,FLAT BREAD
29161,Banana Ecuador - 1Kg,FRUITS
31845,Kdcow Fresh Full Cream Yoghurt - 6 x 170g,PLAIN YOGURT
25438,Zucchini Jordan - 1Kg,VEGGIES
26838,Green Capsicum Jordan - 500g,VEGGIES
30498,Garlic China - 500g,VEGGIES
35425,Onion Red India - 2.750Kg,VEGGIES
26780,Apple Gala Italy - 1Kg,FRUITS
33440,KFM Lebanese Brown Bread - 300g,FLAT BREAD
30470,KDD Thick Cream - 250ml,CREAM & BUTTER
33438,KFM All Purpose Flour - 1Kg,FLOUR
24715,Abraaj Water Low Sodium - 20 x 200ml,STILL WATER
25399,KDD Liquid Cream - 250ml,CREAM & BUTTER
28456,Driscoll's Strawberries - 454g,FRUITS
33583,KFM Slider Potato Buns - 420g,BURGER & HOTDOG BUNS
30223,KFM Multigrain Toast With Vitamin D3 - 500g,TOAST
24374,Almarai Fresh Full Fat Laban With Added Vitamins - 180ml,LABAN
24723,Kuwaiti Fresh White Eggs - 12 Pieces,EGGS
27458,KDD 123 Chocolate Milk - 6 x 125ml,FLAVORED MILK
35536,KFM Plain Mini Croissant - 8 x 35g,CROISSANTS & SANDWICHES
32387,L'usine Brown Toast - 600g,TOAST
27278,Kleenex Daily Care Tissue - 5 x 120's,"TISSUES, ROLLS & WIPES"
30447,Nutella - 400g,"SPREADS, JAMS & HONEY"
27672,Arwa Low Sodium Water - 24 x 330ml,STILL WATER
24594,Arwa Low Sodium Water - 24 x 200ml,STILL WATER
26766,Kdcow Fresh Low Fat Yoghurt - 6 x 170g,PLAIN YOGURT
27783,Pinar Turkish Original Creamy Labneh - 370g,LABNEH
30805,Abraaj Water Low Sodium - 20 x 330ml,STILL WATER
27404,KFM Burger Buns With Sesame - 300g,BURGER & HOTDOG BUNS
39953,Coriander Kuwait - 100g,VEGGIES
39954,Parsley Kuwait - 100g,VEGGIES
29790,Fine Classic Facial Tissues 2Ply - 5 X 150 Sheets,"TISSUES, ROLLS & WIPES"
35822,Driscoll's Raspberry - 125g,FRUITS
30543,KFM Plain Croissant - 5 x 60g,CROISSANTS & SANDWICHES
33647,Mango Taimoor Yemen - 1Kg,FRUITS
35382,KDD 123 Apple Juice - 8 x 125ml,JUICE
39079,KDD Liquid Cooking Cream - 500ml,CREAM & BUTTER
27564,Potato Egypt - 1Kg,VEGGIES
36733,KFM Potato Hotdog Roll - 400g,BURGER & HOTDOG BUNS
38255,Kleenex Daily Care Tissue - 5 x 170's,"TISSUES, ROLLS & WIPES"
33686,KDD Mango Nectar Juice - 8 x 125ml,JUICE
35804, Driscoll's Strawberry - 454g,FRUITS
35805, Driscoll's Blackberries - 125g,FRUITS
29145,KFM Spaghetti - 400g,RICE & PASTA
28020,KDD Butter Unsalted - 100g,CREAM & BUTTER
33388,Ginger China - 500g,VEGGIES
24411,White Onion Spain - 1Kg,VEGGIES
26258,Almarai Gold Rich & Creamy Full Fat Laban - 180ml,LABAN
29556,KDD Royale Yoghurt - 6 x 180g,PLAIN YOGURT
32406,Driscoll's Raspberries - 170g,FRUITS
25699,Orange Navel Egypt - 1Kg,FRUITS
27820,KDD Cocktail Juice - 8 x 125ml,JUICE
32502,Clementine Turkey - 1 Kg,FRUITS
29471,Iceberg Lettuce Jordan - 1Kg,VEGGIES
28073,KFM Macaroni No.23 - 500g,RICE & PASTA
36798,Almarai Butter Unsalted Promo - 3 x 100g,CREAM & BUTTER
28633,KFM Penne Pasta No.22 - 500g,RICE & PASTA
26409,KDD Mango Juice - 250ml,JUICE
31759,Pinar Shredded Mozzarella Cheese Promo Pack - 2 x 200g,SHREDDED & GRATED CHEESE
33386,White Mushrooms Oman - 250g,VEGGIES
26203,Yasmin Farms Free Range Brown Eggs - 30 Pieces,EGGS
26769,Green Apple Italy - 1Kg,FRUITS
35568,Cherry Tomatoes Kuwait - 250g,VEGGIES
33356,Almarai Burger Cheese Slices - 200g,SLICED CHEESE
34009,Pink Lady Apples New Zealand - 1Kg,FRUITS
32412,Spring Onion Kuwait - 250g,VEGGIES
39956,Rocket Kuwait - 100g,VEGGIES
28495,KDD Chocolate Milk - 250ml,FLAVORED MILK
33476,Pinar Original Labneh Portion Pack - 10 x 20g,LABNEH
30367,KFM Sliced Brioche Toast - 250g,TOAST
35534,KFM Cheese Mini Croissant - 8 x 35g,CROISSANTS & SANDWICHES
31494,Almarai Fresh Full Fat Laban - 2L,LABAN
24621,Potato Lebanon - 1Kg,VEGGIES
35357,KDD Chocolate Milk - 6 x 250ml,FLAVORED MILK
28105,Kellogg's Frosties - 330g,CEREALS
31019,American Heritage Grated Parmesan Cheese - 226g,SHREDDED & GRATED CHEESE
33344,Kellogg's Coco Pops Chocos 20% Less Sugar - 330g,CEREALS
25489,Al Wazzan Salt - 700g,SALT
25504,Pomegranate India - 1Kg,FRUITS
32476,Iceberg Lettuce Kuwait - 1Kg,VEGGIES
27403,KFM Burger Buns - 300g,BURGER & HOTDOG BUNS
26981,Almarai Full Cream Feta Cheese - 200g,BLOCK CHEESE
26504,KFM Cheese Croissant - 5 x 75g,CROISSANTS & SANDWICHES
30684,KFM Fusilli Pasta No.20 - 500g,RICE & PASTA
38202,KDCow Greek Protein Yogurt Non Fat - 170g,GREEK YOGURT
39955,Mint Kuwait - 100g,VEGGIES
31804,Almarai Vetal Fresh Full Fat Yoghurt (5+1 Free) - 6X170g,PLAIN YOGURT
31570,KFM Hard Roll Bread - 300g,BURGER & HOTDOG BUNS
31515,Driscoll's  Blackberries - 170g,FRUITS
32384,Almarai Low Fat Cheddar Cheese Slices - 200g,SLICED CHEESE
27587,KDD 123 Full Cream Milk - 6 x 125ml,LONG LIFE MILK
31347,Rawdatain Mineral Water - 20 x 200ml,STILL WATER
24412,Cabbage Saudi - 1Kg,VEGGIES
35441,KDD 123 Full Cream Milk - 30 x 125ml,LONG LIFE MILK
30202,Nada Plain Greek Yoghurt - 160g,GREEK YOGURT
29671,Tomato Jordan - 1Kg,VEGGIES
35276,KDD 123 Chocolate Milk - 30 x 125ml,FLAVORED MILK
34035,Almarai Fresh Sour Full Fat Yoghurt - 6 x 170g,PLAIN YOGURT
33357,Almarai Sandwich Cheese Slices - 200g,SLICED CHEESE
29151,Nada 0% Fat Plain Greek Yoghurt - 160ml,GREEK YOGURT
26733,Indomie Noodles Fried Mi Goreng - 5 x 82g,SOUP & NOODLES
24377,Almarai Long Life Lactose Free Milk - 1L,LONG LIFE MILK
26678,Royal Gala Apple France - 1Kg,FRUITS
27460,L'usine Multigrain Toast - 600g,TOAST
33984,Indomie Noodles Vegetable - 5 x 77g,SOUP & NOODLES
32379,KDD Lactose Free Chocolate Milk - 250ml,FLAVORED MILK
24552,Kdcow Laban Drink With Mint - 200ml,LABAN
28371,KFM Burger Brioche Buns - 4's,BURGER & HOTDOG BUNS
25431,Sunwhite Calrose Rice - 2Kg,RICE & PASTA
33223,Rawdatain Mineral Water - 20 x 330ml,STILL WATER
29510,KFM White French Bread - 240g,BURGER & HOTDOG BUNS
26156,Almarai Shredded Full Fat Mozzarella Cheese - 180g,SHREDDED & GRATED CHEESE
25101,Nyssa Shredded Mozzarella - 2 x 180g,SHREDDED & GRATED CHEESE
29533,KFM Protein Bread - 240g,HEALTHY BREADS
32039,Fairy Max Plus Lemon Dishwashing Soap Promo - 2 x 800ml,KITCHEN & DISHWASHING
25403,Almarai Lite Feta Cheese - 200g,BLOCK CHEESE
27799,Fresh Brown Eggs Kuwait - 30 Pieces,EGGS
35237,KDD Low Fat Yoghurt - 6 x 170g,PLAIN YOGURT
35369,KDD Mango Juice - 6 x 250ml,JUICE
30301,Almarai Sweetened Condensed Milk - 397g,CREAM & CONDENSED MILK
25134,Apple Granny Smith France - 1Kg,FRUITS
24399,Philadelphia Original Cream Cheese - 180g,SPREAD CHEESE
29697,Kellogg's Corn Flakes - 24g,CEREALS
24380,Almarai Fresh Full Fat Laban - 1L,LABAN
36232,KdCow Fresh Laban Drink - 160ml,LABAN
28636,Almarai Full Fat Fresh Milk - 1L,FRESH MILK
31486,KDD Cocktail Juice - 250ml,JUICE
39712,KDCow Greek Protein Yogurt Non Fat (2+1 Free) - 3 x 170g,GREEK YOGURT
29548,Sanita Club Garbage Bag 55 Gallons Biodegradable Promo - 2 x 15 Pieces,GARBAGE BAGS
25398,KDD Full Cream Lactose Free Milk - 1L,LONG LIFE MILK
35426,Banana Ecuador Box - 2.5Kg,FRUITS
30497,Kiwi Chilli - 1Kg,FRUITS
35360,KDD Cocktail Juice - 6 x 250ml,JUICE
32380,KDD 123 Strawberry Milk - 6 x 125ml,FLAVORED MILK
31750,Wooden Bakery White Large Pita Bread - 570g,FLAT BREAD
29658,Heinz Tomato Ketchup - 460g,CONDIMENTS & DRESSINGS
34057,Kdcow Fresh Full Fat Laban - 200ml,LABAN
33983,Almarai Fresh Full Cream Yoghurt - 6 x 170g,PLAIN YOGURT
28069,KFM Protein Toast - 312g,HEALTHY BREADS
33706,KDD Fresh Full Cream Yoghurt - 6 x 200g,PLAIN YOGURT
30844,Kdcow Full Cream Yoghurt - 1L,PLAIN YOGURT
32745,Fine Classic Facial Tissues 2Ply - 5 X 200 Sheets,"TISSUES, ROLLS & WIPES"
26255,KFM Orzo Pasta No.41 - 400g,RICE & PASTA
36203,Al Alali Whole Kernel Sweet Corn - 3 x 340g,CANNED VEGGIES
31269,KDD Extra Virgin Olive Oil - 500ml,OILS & GHEE
33545,Almarai Full Fat Fresh Milk - 2L,FRESH MILK
25455,Yasmin Farms Full Fat Goat Milk - 1L,FRESH MILK
38738,Dalal Pure Corn Oil - 2L,OILS & GHEE
24451,Sanita Club Garbage Bags Biodegradable 55 Gallons - 15 Pieces,GARBAGE BAGS
38597,Nescafe 3 In 1 Original - 24 x 20g,INSTANT COFFEE
33405,Yasmin Farms Full Fat Cow Milk - 1L,FRESH MILK
34217,Luna Chickpeas - 3 x 380g,CANNED VEGGIES
34797,Al Alali Whole Kernel Sweet Corn - 3 x 425g,CANNED VEGGIES
24467,Comfort Spring Dew Fabric Softener - 3L,LAUNDRY
30655,Downy Valley Dew Fabric Softener - 3L,LAUNDRY
39225,Bahar Premium Lemon Dish Washing Liquid Special Offer - 4 x 400ml,KITCHEN & DISHWASHING
38596,Nescafe 3 In 1 Classic - 30 x 20g,INSTANT COFFEE
37034,Al Wazzan Natural Sea Salt - 1.050Kg,SALT
25269,Clorox Heavy Duty Sponge Scourer 3D (3+1 Free) - 4's,KITCHEN & DISHWASHING
24389,Ahmad Tea English Breakfast Tea Bags - 100 x 2g,BLACK & GREEN TEA
38699,Americana Fancy Solid Tuna In Water - 4 x 160g,CANNED FISH & MEATS
35920,Persil Deep Clean Laundry Detergent - 2 x 2.25Kg,LAUNDRY
35849,Majestic Pure White Sugar Packets - 350g,SUGARS & SWEETENERS
35842,Oxi Lavender Laundry Detergent Automatic - 5Kg,LAUNDRY
28534,Nescafe Red Mug Bold & Rich Coffee - 190g,INSTANT COFFEE
30264,Alwazah Tea 100% Pure Ceylon Black Tea Bags - 100's,BLACK & GREEN TEA
26811,Foster Clark's Corn Starch - 200g,FLOUR
39119,Dar Zaytoun Extra Virgin Olive Oil Special Offer - 2 X 500ml,OILS & GHEE
29930,Al Wazzan White Meat Tuna In Sunflower Oil - 4 x 160g,CANNED FISH & MEATS
24858,Afia Corn Oil Promo - 2 x 1.5L + 500ml Free,OILS & GHEE
27541,Al Wazzan Sugar - 5Kg,SUGARS & SWEETENERS
31951,Al Wazzan White Meat Tuna in Water Promo - 4 x 160g,CANNED FISH & MEATS
29830,KFM Kuwait Flour Pastries & Logaimat Mix - 1Kg,FLOUR
25727,SIS light Brown Sugar - 1Kg,SUGARS & SWEETENERS
